,1,2,3,4,5
CNS,0.3,1.18,0.55,1.14,-0.265
CNS,0.679961,1.289961,0.169961,0.379961,0.464961
CNS,0.94,-0.04,-0.17,-0.04,-0.605
RENAL,0.28,-0.31,0.68,-0.81,0.625
BREAST,0.485,-0.465,0.395,0.905,0.2
CNS,0.31,-0.03,-0.1,-0.46,-0.205
CNS,-0.83,0,0.13,-1.63,0.075
BREAST,-0.19,-0.87,-0.45,0.08,0.005
NSCLC,0.46,0,1.15,-1.4,-0.005
NSCLC,0.76,1.49,0.28,0.1,-0.525
RENAL,0.27,0.63,-0.36,-1.04,0.015
RENAL,-0.45,-0.06,0.15,-0.61,-0.395
RENAL,-0.03,-1.12,-0.05,0,-0.285
RENAL,0.71,0,0.16,-0.77,0.045
RENAL,-0.36,-1.42,-0.03,-2.28,0.135
RENAL,-0.21,-1.95,-0.7,-1.65,-0.075
RENAL,-0.5,-0.52,-0.66,-2.61,0.225
BREAST,-1.06,-2.19,-0.13,0,-0.485
NSCLC,0.15,-0.45,-0.32,-1.61,-0.095
RENAL,-0.29,0,0.05,0.73,0.385
UNKNOWN,-0.2,0.74,0.08,0.76,-0.105
OVARIAN,0.43,0.5,-0.73,0.6,-0.635
MELANOMA,-0.49,0.33,0.01,-1.66,-0.185
PROSTATE,-0.53,-0.05,-0.23,0.17,0.825
OVARIAN,-0.01,-0.37,-0.16,0.93,0.395
OVARIAN,0.64,0.55,-0.54,-1.78,0.315
OVARIAN,-0.48,0.97,0.3,0.47,0.425
OVARIAN,0.14,0.72,-0.24,0,1.715
OVARIAN,0.64,0.15,-0.17,0.55,-0.205
PROSTATE,0.07,0.29,0.07,1.31,0.085
NSCLC,0.13,2.24,0.64,0.68,0.135
NSCLC,0.32,0.28,0.36,-1.88,0.475
NSCLC,0.515,1.045,0,0,0.33
LEUKEMIA,0.08,0.12,0.06,0.4,0.105
K562B-repro,0.41,0,0.21,0.18,-0.255
K562A-repro,-0.2,0,0.06,-0.07,-0.415
LEUKEMIA,-0.3699805,-1.38998,-0.05998047,0.07001953,-0.07498047
LEUKEMIA,-0.37,0.18,0,-1.32,-0.825
LEUKEMIA,-0.43,-0.59,-0.5,-1.52,-0.785
LEUKEMIA,-0.38,-0.55,-1.71,-1.87,-0.585
LEUKEMIA,-0.55,0,0.1,-2.39,-0.215
COLON,-0.320039,0.08996101,-0.290039,-1.030039,0.09496101
COLON,-0.62,0.08,0.14,0.74,0.205
COLON,-0.49,0.42,-0.34,0.07,-0.205
COLON,0.07001953,-0.8299805,-0.5999805,-0.9099805,0.2450195
COLON,-0.12,0,-0.01,0.13,0.555
COLON,-0.29,0.03,-0.31,1.5,0.005
COLON,-0.8100195,0,0.2199805,0.7399805,0.1149805
MCF7A-repro,0.2,-0.23,0.36,0.18,-0.315
BREAST,0.3799805,0.4499805,0.6599805,0.7699805,0.05498047
MCF7D-repro,0.3100195,0.4800195,0.9600195,0.9600195,-0.2149805
BREAST,0.03,0.22,0.15,-1.24,-0.305
NSCLC,-0.4299805,-0.3899805,-0.1799805,0.8600195,0.7850195
NSCLC,0.16,-0.34,-0.02,-1.73,-0.625
NSCLC,0.01,-1.28,-0.77,0.94,-0.015
MELANOMA,-0.62,-0.13,0.2,-1.41,1.585
BREAST,-0.38,0,-0.06,0.8,-0.115
BREAST,0.04998047,-0.7200195,0.4199805,0.9299805,-0.09501953
MELANOMA,0.65,0.64,0.15,-1.97,-0.065
MELANOMA,-0.03,-0.48,0.07,-0.7,-0.195
MELANOMA,-0.27,0.63,-0.1,1.1,1.045
MELANOMA,0.21,-0.62,-0.15,-1.33,0.045
MELANOMA,-0.05,0.14,-0.09,-1.26,0.045
MELANOMA,0.35,-0.27,0.02,-1.23,-0.715
